Molecular Weight,AlogP,Smiles,IC50_nM,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
388.26,3.86,CC1c2nnc(-c3ccccn3)n2CCN1C(=O)c1cccc(Cl)c1Cl,1160.0,5.94,15.29,0.31,2.08,9.29
406.25,3.83,C[C@H]1Cn2c(nnc2-c2cccc(F)n2)CN1C(=O)c1cccc(Cl)c1Cl,1690.0,5.77,14.21,0.29,1.94,9.03
406.25,4.07,C[C@@H]1c2ncnc(-c3ccn[nH]3)c2CCN1C(=O)c1ccc(Cl)c(F)c1Cl,127.9,6.89,16.97,0.35,2.82,9.22
406.25,4.07,C[C@@H]1c2ncnc(-c3ccn[nH]3)c2CCN1C(=O)c1ccc(F)c(Cl)c1Cl,28.4,7.55,18.58,0.38,3.48,10.09
388.26,3.86,C[C@@H]1c2nnc(-c3ccccn3)n2CCN1C(=O)c1cccc(Cl)c1Cl,760.0,6.12,15.76,0.32,2.26,9.57
424.83,4.47,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCc2c(ncnc2-c2nccs2)C1,648.6,6.19,14.57,0.3,1.72,10.49
448.84,3.84,O=C1c2nnc(-c3ncccn3)n2CC(C2CC2)N1Cc1cccc(C(F)(F)F)c1Cl,4.6,8.34,18.58,0.37,4.5,10.86
386.24,3.44,O=C(c1cccc(Cl)c1Cl)N1CCc2c(ncnc2-c2cnccn2)C1,3162.3,5.5,14.24,0.29,2.06,7.65
389.25,3.09,CC1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(Cl)c1Cl,300.6,6.52,16.76,0.34,3.43,8.49
449.86,4.69,CCc1nc2c(c(-c3ccn[nH]3)n1)CC(C)N(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,14.9,7.83,17.4,0.34,3.14,10.47
375.22,2.56,O=C(c1cccc(Cl)c1Cl)N1CCc2c(ncnc2-n2nccn2)C1,2483.1,5.61,14.94,0.31,3.05,7.3
381.41,2.91,COc1cccc(C(=O)N2Cc3nc(C)nc(-c4ccn[nH]4)c3CC2C)c1F,1455.5,5.84,15.3,0.28,2.93,6.95
387.27,4.33,CC1CN(C(=O)c2cccc(Cl)c2Cl)Cc2nnn(-c3ccccc3)c21,13520.7,4.87,12.57,0.26,0.54,9.54
451.84,4.1,COc1cccnc1-n1nnc2c1CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)C2C,6934.3,5.16,11.42,0.23,1.06,7.05
410.79,3.25,CC1Cc2c(nnn2-c2cc[nH]n2)CN1C(=O)c1cccc(C(F)(F)F)c1Cl,7.7,8.11,19.75,0.4,4.86,10.18
404.37,4.18,C[C@@H]1c2ncn(-c3ccccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1F,88.3,7.05,17.44,0.33,2.87,13.83
